movie_ref,discogs_title_norm,tmdb_title_norm,discogs_year,tmdb_year,discogs_genre,tmdb_genre,discogs_style
Am lie,yann tiersen amelie,le fabuleux destin amelie poulain,2001,2001,"Electronic, Pop, Stage & Screen",,"Modern Classical, Chanson, Soundtrack"
Am lie,yann tiersen amelie,amelie,2001,2021,"Electronic, Pop, Stage & Screen",,"Modern Classical, Chanson, Soundtrack"
Am lie,yann tiersen amelie,amelie et la metaphysique des tubes,2001,2025,"Electronic, Pop, Stage & Screen",,"Modern Classical, Chanson, Soundtrack"
Am lie,yann tiersen amelie,la veritable histoire amelie poulain,2001,2023,"Electronic, Pop, Stage & Screen",,"Modern Classical, Chanson, Soundtrack"
Am lie,yann tiersen amelie,romanze mit amelie,2001,1982,"Electronic, Pop, Stage & Screen",,"Modern Classical, Chanson, Soundtrack"
Am lie,yann tiersen amelie,occupe toi amelie,2001,1932,"Electronic, Pop, Stage & Screen",,"Modern Classical, Chanson, Soundtrack"
Am lie,yann tiersen amelie,amelie ou le temps aimer,2001,1961,"Electronic, Pop, Stage & Screen",,"Modern Classical, Chanson, Soundtrack"
Am lie,yann tiersen amelie,amelie au pays des bodin,2001,2010,"Electronic, Pop, Stage & Screen",,"Modern Classical, Chanson, Soundtrack"
Am lie,yann tiersen amelie,amelie oudea castera jeux decisifs,2001,2025,"Electronic, Pop, Stage & Screen",,"Modern Classical, Chanson, Soundtrack"
Am lie,yann tiersen amelie,capitaine casta amelie disparu,2001,2007,"Electronic, Pop, Stage & Screen",,"Modern Classical, Chanson, Soundtrack"
Am lie,yann tiersen amelie,amelie rennt,2001,2017,"Electronic, Pop, Stage & Screen",,"Modern Classical, Chanson, Soundtrack"
Am lie,yann tiersen amelie,liebe amelie,2001,2005,"Electronic, Pop, Stage & Screen",,"Modern Classical, Chanson, Soundtrack"
Am lie,yann tiersen amelie,amelie nothomb une vie entre deux eaux,2001,2012,"Electronic, Pop, Stage & Screen",,"Modern Classical, Chanson, Soundtrack"
Am lie,yann tiersen amelie,amelie ich komme,2001,1986,"Electronic, Pop, Stage & Screen",,"Modern Classical, Chanson, Soundtrack"
Am lie,yann tiersen amelie,occupe toi amelie,2001,1949,"Electronic, Pop, Stage & Screen",,"Modern Classical, Chanson, Soundtrack"
Am lie,yann tiersen amelie,occupe toi amelie,2001,2012,"Electronic, Pop, Stage & Screen",,"Modern Classical, Chanson, Soundtrack"
Am lie,yann tiersen amelie,amie amelie,2001,2014,"Electronic, Pop, Stage & Screen",,"Modern Classical, Chanson, Soundtrack"
Am lie,yann tiersen amelie,amelie albrecht zwaar leven,2001,2021,"Electronic, Pop, Stage & Screen",,"Modern Classical, Chanson, Soundtrack"
